                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1173,                 1.1309,                 1.0719,                0.68519,                0.89004,                0.81765,                0.56316,                 1.1237,                 1.1698,                  1.078,              0.0083665,              0.0083665,              0.0083665
                     35,                  1.143,                 1.1345,                 1.0693,                0.74883,                0.92039,                0.83587,                0.58239,                 1.1136,                  1.159,                 1.0543,               0.008317,               0.008317,               0.008317
                     36,                 1.1503,                 1.1739,                 1.0591,                0.77603,                0.86759,                0.87642,                0.60504,                 1.1025,                 1.1186,                  1.039,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.1461,                 1.1327,                 1.0552,                0.81141,                0.82012,                0.87882,                 0.6142,                 1.0553,                 1.0497,                 1.0261,               0.008218,               0.008218,               0.008218
                     38,                 1.1703,                 1.1843,                 1.0916,                0.75602,                0.91286,                0.88306,                0.61882,                 1.0775,                 1.1009,                 1.0522,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.1771,                 1.0635,                  1.087,                0.83661,                0.91017,                0.93092,                0.65827,                 1.0714,                0.98362,                 1.0306,               0.008119,               0.008119,               0.008119
                     40,                 1.2001,                 1.0527,                 1.0888,                0.85189,                0.91608,                0.94014,                0.58817,                 1.3058,                 1.0222,                 1.1079,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.1271,                  1.049,                 1.0419,                0.91413,                0.93631,                0.94024,                0.66121,                 1.0454,                0.94805,                  1.029,                0.00802,                0.00802,                0.00802
                     42,                 1.1002,                 1.0234,                 1.0374,                0.88295,                0.90721,                0.95182,                0.65574,                 1.1275,                0.96997,                 1.0533,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.1715,                 1.0668,                 1.0853,                0.82031,                0.87862,                0.92923,                0.65074,                 1.0841,                0.93462,                 1.0312,               0.007921,               0.007921,               0.007921
