                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    150,                0.72295,                0.57802,                0.90478,                0.96677,                0.98657,                0.98012,                 0.7121,                 0.9946,                0.58817,                 1.0183,              0.0026245,              0.0026245,              0.0026245
                    151,                0.75392,                0.59932,                0.90695,                0.96578,                0.98928,                0.97999,                0.72042,                 1.0085,                0.58409,                  1.027,               0.002575,               0.002575,               0.002575
                    152,                0.70767,                0.55624,                0.89239,                 0.9668,                0.98873,                0.98069,                0.72043,                0.98519,                0.56994,                  1.016,              0.0025255,              0.0025255,              0.0025255
                    153,                0.73257,                0.58982,                0.92355,                0.96733,                 0.9887,                0.98091,                0.72581,                 1.0015,                0.58142,                 1.0236,               0.002476,               0.002476,               0.002476
                    154,                0.73347,                0.56244,                 0.8936,                0.96401,                0.98963,                0.98075,                0.72528,                 1.0245,                0.58463,                 1.0431,              0.0024265,              0.0024265,              0.0024265
                    155,                0.71738,                0.57886,                0.89628,                0.96664,                0.98785,                0.98076,                0.71183,                 1.0203,                0.59102,                 1.0353,               0.002377,               0.002377,               0.002377
                    156,                0.69539,                0.55989,                0.87995,                0.96467,                0.98774,                 0.9809,                 0.7243,                0.98851,                 0.5763,                 1.0289,              0.0023275,              0.0023275,              0.0023275
                    157,                0.73484,                0.58476,                0.91911,                 0.9588,                0.98792,                0.98062,                0.71963,                0.99799,                0.57457,                 1.0268,               0.002278,               0.002278,               0.002278
                    158,                0.73282,                0.59131,                0.93131,                0.96301,                 0.9695,                0.98021,                0.70835,                  1.024,                0.59143,                 1.0397,              0.0022285,              0.0022285,              0.0022285
                    159,                0.72463,                0.56641,                0.88965,                0.95831,                0.96536,                0.98214,                0.70881,                 1.0146,                0.58972,                 1.0367,               0.002179,               0.002179,               0.002179
                    160,                0.75237,                0.57773,                0.90208,                0.95906,                0.95685,                0.98132,                0.72788,                0.98375,                0.58562,                 1.0212,              0.0021295,              0.0021295,              0.0021295
